,Unnamed: 0,iso_code,continent,Country,date,total_cases,new_cases,total_deaths,total_cases_per_million,total_deaths_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,Alcoholic Beverages,Animal fats,Animal Products,"Aquatic Products, Other",Cereals - Excluding Beer,Eggs,"Fish, Seafood",Fruits - Excluding Wine,Meat,Milk - Excluding Butter,Miscellaneous,Offals,Oilcrops,Pulses,Spices,Starchy Roots,Stimulants,Sugar & Sweeteners,Sugar Crops,Treenuts,Vegetable Oils,Vegetables,Vegetal Products,Obesity,Undernourished,Confirmed,Deaths,Recovered,Active,Population,Unit (all except Population)
0,443.0,AFG,Asia,Afghanistan,2021-05-12,62718.0,315.0,2713.0,1611.114,69.692,,38928341.0,54.422,18.6,2.5810000000000004,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,0.0014,0.1973,9.4341,0.0,24.8097,0.2099,0.035,5.3495,1.202,7.5828,0.0728,0.2057,0.07,0.2953,0.0574,0.8802,0.3078,1.3489,0.0,0.077,0.5345,6.7642,40.5645,4.5,29.8,0.142134196,0.006185779000000001,0.123373921,0.012574496999999999,38928000.0,%
1,898.0,OWID_AFR,,Africa,2021-05-12,4656979.0,8863.0,125363.0,3473.8070000000002,93.51299999999999,,1340598113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1341.0,ALB,Europe,Albania,2021-05-12,131845.0,42.0,2423.0,45814.511,841.9630000000001,,2877800.0,104.87100000000001,38.0,13.187999999999999,8.642999999999999,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,1.6719,0.1357,18.7684,0.0,5.7817,0.5815,0.2126,6.7861,1.8845,15.7213,0.1123,0.2324,0.9377,0.23800000000000002,0.0008,1.8096,0.1055,1.5367,0.0,0.1515,0.3261,11.7753,31.2304,22.3,6.2,2.967300916,0.050951374,1.792635659,1.123713883,2838000.0,%
3,1784.0,DZA,Africa,Algeria,2021-05-12,124682.0,199.0,3350.0,2843.308,76.395,,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,278.36400000000003,6.73,0.7,30.4,83.741,1.9,76.88,0.748,0.2711,0.0282,9.6334,0.0,13.6816,0.5277,0.2416,6.3801,1.1305,7.6189,0.1671,0.087,0.3493,0.4783,0.0557,4.1339999999999995,0.2216,1.8342,0.0,0.1152,1.031,11.6484,40.3651,26.6,3.9,0.244897085,0.006558153000000001,0.167572198,0.070766734,44357000.0,%
4,2221.0,AND,Europe,Andorra,2021-05-12,13470.0,23.0,127.0,174335.081,1643.694,,77265.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2640.0,AGO,Africa,Angola,2021-05-12,29405.0,259.0,645.0,894.686,19.625,,32866268.0,23.89,16.8,2.405,1.3619999999999999,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,5.8087,0.055999999999999994,4.9278,0.0,9.1085,0.0587,1.7707,6.0005,2.0571,0.8311,0.1165,0.155,0.4186,0.6507,0.0009,18.1102,0.0508,1.8495,0.0,0.0061,0.6463,2.3041,45.0722,6.8,25,0.061687473,0.00146055,0.056807699,0.0034192240000000002,32522000.0,%
6,2718.0,AIA,North America,Anguilla,2021-04-22,,,,,,,15002.0,,,,,,,,,,,,,81.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3144.0,ATG,North America,Antigua and Barbuda,2021-05-12,1240.0,2.0,32.0,12662.364,326.77099999999996,,97928.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,3.5764,0.0087,16.6613,0.0,5.996,0.2274,4.1489,10.7451,5.6888,6.3663,0.7139,0.2219,0.2172,0.184,0.1524,1.4522,0.1564,3.8749,0.0,0.0253,0.8102,5.4495,33.3233,19.1,,0.293877551,0.007142857,0.19081632699999998,0.09591836699999999,98000.0,%
8,3642.0,ARG,South America,Argentina,2021-05-12,3215572.0,24475.0,68807.0,71147.621,1522.421,,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,4.2672,0.2234,19.3454,0.0,8.4102,0.9979,0.4693,6.0435,7.0421,10.2328,0.0,0.3779,0.0116,0.0528,0.0122,3.042,0.4378,3.0536,0.0,0.02,0.9541,4.3503,30.6559,28.5,4.6,4.356147387,0.108226635,3.905192058,0.342728695,45377000.0,%
9,4080.0,ARM,Asia,Armenia,2021-05-12,219950.0,354.0,4272.0,74226.335,1441.668,,2963234.0,102.931,35.7,11.232000000000001,7.571000000000001,8787.58,1.8,341.01,7.11,1.5,52.1,94.04299999999999,4.2,75.09,0.7759999999999999,0.4014,0.1833,13.564,0.0,7.2982,0.5783,0.2896,6.0989,2.2675,9.9407,0.2355,0.304,0.0899,0.1441,0.0055,2.0359,0.1863,2.6579,0.0,0.1108,0.4705,16.7019,36.4358,20.9,4.3,5.681224628,0.10534506099999999,5.3984100139999995,0.177469553,2956000.0,%
10,4124.0,ABW,North America,Aruba,2021-05-11,,,,,,,106766.0,584.8,41.2,13.085,7.452000000000001,35973.781,,,11.62,,,,,76.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,4601.0,OWID_ASI,,Asia,2021-05-12,45265838.0,452792.0,585684.0,9755.889000000001,126.229,,4639847425.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,5074.0,AUS,Oceania,Australia,2021-05-12,29955.0,9.0,910.0,1174.711,35.686,,25499881.0,3.202,37.9,15.504000000000001,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.9440000000000001,5.5436,0.3143,21.4175,0.0033,5.4979,0.4428,1.4264,4.1883,6.7049,12.1018,0.5293,0.424,0.3694,0.0546,0.0458,2.7884,0.2928,2.5364,0.0,0.3176,1.2798,5.1406,28.5806,30.4,<2.5,0.112025316,0.0035295490000000003,0.10128912,0.007206648,25754000.0,%
13,5517.0,AUT,Europe,Austria,2021-05-12,633960.0,1194.0,10428.0,70389.945,1157.843,,9006400.0,106.749,44.4,19.202,13.748,45436.685999999994,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,7.0215,0.8555,19.5654,0.0011,6.2116,0.7884,0.7562,4.6069,4.681,12.3776,0.0005,0.1052,0.2683,0.0456,0.0494,3.0548,0.4106,2.6094,0.0,0.2367,0.8109,5.1098,30.4338,21.9,<2.5,4.739982051,0.089679156,4.496870092,0.15343280199999998,8914000.0,%
14,5955.0,AZE,Asia,Azerbaijan,2021-05-12,328159.0,558.0,4726.0,32365.453999999998,466.11300000000006,,10139175.0,119.309,32.4,6.018,3.8710000000000004,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73.0,0.7559999999999999,3.5969,0.2544,11.6416,0.0,13.0898,0.5593,0.20199999999999999,4.7988,2.1513,8.3212,0.0145,0.1534,0.0145,0.0347,0.0044,4.7041,0.0587,1.5523,0.0,0.1906,0.2235,10.0755,38.3584,19.9,<2.5,2.285536209,0.031222793999999998,2.225573803,0.028739612,10108000.0,%
